,title,artist,rank,date,weeks
200,I Love The Way You Love,Marv Johnson,79,1960-03-07,1
201,Just One Time,Don Gibson,80,1960-03-07,1
202,Never Let Me Go,Lloyd Price and His Orchestra,82,1960-03-07,1
203,Footsteps,Steve Lawrence,84,1960-03-07,1
204,Apple Green,June Valli,89,1960-03-07,1
205,Whatcha' Gonna Do,Nat King Cole,94,1960-03-07,1
206,Suddenly,Nickey DeMatteo,95,1960-03-07,1
207,Jambalaya,Bobby Comstock And The Counts,99,1960-03-07,1
208,Down By The Riverside,Les Compagnons De La Chanson,100,1960-03-07,1
209,Don't Throw Away All Those Teardrops,Frankie Avalon,65,1960-03-14,1
210,At My Front Door,Dee Clark,76,1960-03-14,1
211,Straight A's In Love,Johnny Cash And The Tennessee Two,84,1960-03-14,1
212,Big Iron,Marty Robbins,88,1960-03-14,1
213,Caravan,Santo & Johnny,89,1960-03-14,1
214,The Old Lamplighter,The Browns Featuring Jim Edward Brown,96,1960-03-14,1
215,Ruby,Adam Wade,97,1960-03-14,1
216,Don't Deceive Me,Ruth Brown,98,1960-03-14,1
217,Lonely Weekends,Charlie Rich,99,1960-03-14,1
218,Teenage Sonata,Sam Cooke,100,1960-03-14,1
219,Shazam!,Duane Eddy His Twangy Guitar And The Rebels,82,1960-03-21,1
220,Clementine,Bobby Darin,86,1960-03-21,1
221,Night,Jackie Wilson,90,1960-03-21,1
222,Wake Me When It's Over,Andy Williams,92,1960-03-21,1
223,Words,Pat Boone,94,1960-03-21,1
224,Someday (You'll Want Me to Want You),Della Reese,100,1960-03-21,1
225,Cradle Of Love,Johnny Preston,76,1960-03-28,1
226,Ooh Poo Pah Doo - Part II,Jessie Hill,81,1960-03-28,1
227,It Could Happen To You,Dinah Washington,83,1960-03-28,1
228,Teen-Ex,The Browns Featuring Jim Edward Brown,84,1960-03-28,1
229,House Of Bamboo,Earl Grant,88,1960-03-28,1
230,What Am I Living For,Conway Twitty,93,1960-03-28,1
231,Why I'm Walkin',Stonewall Jackson,96,1960-03-28,1
232,I Need You Now,100 Strings and Jono (Choir of 40 Voices),98,1960-03-28,1
233,Stairway To Heaven,Neil Sedaka,99,1960-03-28,1
234,Doggin' Around,Jackie Wilson,81,1960-04-04,1
235,Rockin' Red Wing,Sammy Masters,83,1960-04-04,1
236,Stuck On You,Elvis Presley With The Jordanaires,84,1960-04-04,1
237,Love You So,Ron Holden with The Thunderbirds,85,1960-04-04,1
238,The Madison,Al Brown's Tunetoppers Featuring Cookie Brown,89,1960-04-04,1
239,Think Me A Kiss,Clyde McPhatter,90,1960-04-04,1
240,Cherry Pie,Skip And Flip,92,1960-04-04,1
241,Adam And Eve,Paul Anka,94,1960-04-04,1
242,Mr. Lucky,Henry Mancini,95,1960-04-04,1
243,What Do You Want?,Bobby Vee,96,1960-04-04,1
244,Fame And Fortune,Elvis Presley With The Jordanaires,71,1960-04-11,1
245,Earth Angel,Johnny Tillotson,74,1960-04-11,1
246,Pledging My Love,Johnny Tillotson,86,1960-04-11,1
247,The Ties That Bind,Brook Benton,88,1960-04-11,1
248,Jenny Lou,Sonny James,91,1960-04-11,1
249,Paper Roses,Anita Bryant,94,1960-04-11,1
250,How Deep Is The Ocean,Miss Toni Fisher,95,1960-04-11,1
251,Just A Closer Walk With Thee,Jimmie Rodgers,98,1960-04-11,1
252,The Madison Time - Part I,Ray Bryant Combo,99,1960-04-11,1
253,Good Timin',Jimmy Jones,67,1960-04-18,1
254,The Way Of A Clown,Teddy Randazzo,76,1960-04-18,1
255,Nobody Loves Me Like You,The Flamingos,82,1960-04-18,1
256,My Empty Room,Little Anthony And The Imperials,90,1960-04-18,1
257,Hither And Thither And Yon,Brook Benton,92,1960-04-18,1
258,Cathy's Clown,The Everly Brothers,94,1960-04-18,1
259,Barbara,The Temptations,95,1960-04-18,1
260,Burning Bridges,Jack Scott,97,1960-04-18,1
261,A Star Is Born (A Love Has Died),Mark Dinning,98,1960-04-18,1
262,"Someone Loves You, Joe",The Singing Belles,99,1960-04-18,1
263,Got A Girl,The Four Preps,100,1960-04-18,1
264,When You Wish Upon A Star,Dion & The Belmonts,85,1960-04-25,1
265,Tell Me That You Love Me,Fats Domino,89,1960-04-25,1
266,Easy Lovin',Wade Flemons,92,1960-04-25,1
267,No If's - No And's,Lloyd Price and His Orchestra,93,1960-04-25,1
268,Last Chance,Collay & the Satellites,94,1960-04-25,1
269,Another Sleepless Night,Jimmy Clanton,95,1960-04-25,1
270,(Doin' The) Lovers Leap,Webb Pierce,96,1960-04-25,1
271,"Two Thousand, Two Hundred, Twenty-Three Miles",Patti Page,97,1960-04-25,1
272,Young Emotions,Ricky Nelson,98,1960-04-25,1
273,Beautiful Obsession,Sir Chauncey and his exciting strings,99,1960-04-25,1
274,Dutchman's Gold,Walter Brennan With Billy Vaughn and his Orchestra,100,1960-04-25,1
275,He'll Have To Stay,Jeanne Black,37,1960-05-02,1
276,For Love,Lloyd Price and His Orchestra,55,1960-05-02,1
277,"Theme From ""The Unforgiven"" (The Need For Love)",Don Costa And His Orchestra And Chorus,74,1960-05-02,1
278,Is It Wrong (For Loving You),Webb Pierce,75,1960-05-02,1
279,All I Could Do Was Cry,Etta James,80,1960-05-02,1
280,Right By My Side,Ricky Nelson,83,1960-05-02,1
281,"Oh, Little One",Jack Scott,86,1960-05-02,1
282,Besame Mucho (Part I),The Coasters,89,1960-05-02,1
283,Mack The Knife,Ella Fitzgerald,94,1960-05-02,1
284,City Lights,Debbie Reynolds,95,1960-05-02,1
285,Think,James Brown And The Famous Flames,97,1960-05-02,1
286,Happy-Go-Lucky-Me,Paul Evans,99,1960-05-02,1
287,Wheel Of Fortune,LaVern Baker,100,1960-05-02,1
288,Everybody's Somebody's Fool,Connie Francis,52,1960-05-09,1
289,Ding-A-Ling,Bobby Rydell,54,1960-05-09,1
290,Swingin' School,Bobby Rydell,71,1960-05-09,1
291,Pink Chiffon,Mitchell Torok,82,1960-05-09,1
292,Theme For Young Lovers,Percy Faith And His Orchestra,85,1960-05-09,1
293,Jump Over,Freddy Cannon,86,1960-05-09,1
294,Put Your Arms Around Me Honey,Ray Smith,91,1960-05-09,1
295,Before I Grow Too Old,Fats Domino,93,1960-05-09,1
296,Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,94,1960-05-09,1
297,A Cottage For Sale,Little Willie John,95,1960-05-09,1
298,Wonderful World,Sam Cooke,97,1960-05-09,1
299,I'll Be Seeing You,The Five Satins,99,1960-05-09,1
300,Pennies From Heaven,The Skyliners,100,1960-05-09,1
301,Always It's You,The Everly Brothers,71,1960-05-16,1
302,Ebb Tide,The Platters Featuring Tony Williams,77,1960-05-16,1
303,The Urge,Freddy Cannon,78,1960-05-16,1
304,National City,"Joiner, Arkansas Junior High School Band",80,1960-05-16,1
305,Finger Poppin' Time,Hank Ballard And The Midnighters,81,1960-05-16,1
306,La Montana (If She Should Come To You),Frank DeVol And His Rainbow Strings,92,1960-05-16,1
307,Exclusively Yours,"Carl Dobkins, Jr.",98,1960-05-16,1
308,Clap Your Hands,The Beau-Marks,99,1960-05-16,1
