,title,artist,rank,date,weeks
23636,Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,92,2010-11-22,1
23637,Make A Movie,Twista Featuring Chris Brown,94,2010-11-22,1
23638,Forget You,Glee Cast Featuring Gwyneth Paltrow,11,2010-11-29,1
23639,Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow,18,2010-11-29,1
23640,Kush,Dr. Dre Featuring Snoop Dogg & Akon,49,2010-11-29,1
23641,S&M,Rihanna Featuring Britney Spears,53,2010-11-29,1
23642,Liv Tonight,Nelly Featuring Keri Hilson,75,2010-11-29,1
23643,Hold My Hand,Michael Jackson Duet With Akon,84,2010-11-29,1
23644,Marry Me,Train,95,2010-11-29,1
23645,Blow,Ke$ha,97,2010-11-29,1
23646,Turn Around (5 4 3 2 1),Flo Rida,98,2010-11-29,1
23647,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,18,2010-12-06,1
23648,Marry You,Glee Cast,32,2010-12-06,1
23649,Just The Way You Are,Glee Cast,40,2010-12-06,1
23650,Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",60,2010-12-06,1
23651,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,61,2010-12-06,1
23652,Show Me How You Burlesque,Christina Aguilera,70,2010-12-06,1
23653,Pretty Girl Rock,Keri Hilson,72,2010-12-06,1
23654,Who's That Chick?,David Guetta Featuring Rihanna,73,2010-12-06,1
23655,Fly,Nicki Minaj Featuring Rihanna,76,2010-12-06,1
23656,Marry You,Bruno Mars,91,2010-12-06,1
23657,All Of The Lights,Kanye West,92,2010-12-06,1
23658,Crazy Beautiful Life,Ke$ha,93,2010-12-06,1
23659,Let Me Down Easy,Billy Currington,97,2010-12-06,1
23660,Maybe,Sick Puppies,100,2010-12-06,1
23661,Dog Days Are Over,Glee Cast,22,2010-12-13,1
23662,Christmas Lights,Coldplay,25,2010-12-13,1
23663,"Hey, Soul Sister",Glee Cast,29,2010-12-13,1
23664,(I've Had) The Time Of My Life,Glee Cast,38,2010-12-13,1
23665,Valerie,Glee Cast,54,2010-12-13,1
23666,Who Dat Girl,Flo Rida Featuring Akon,55,2010-12-13,1
23667,Freak The Freak Out,Victorious Cast Featuring Victoria Justice,78,2010-12-13,1
23668,Boots,The Killers,79,2010-12-13,1
23669,Fire Flame,Birdman Featuring Lil Wayne,84,2010-12-13,1
23670,Rocketeer,Far*East Movement Featuring Ryan Tedder,93,2010-12-13,1
23671,Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,97,2010-12-13,1
23672,That's All She Wrote,T.I. Featuring Eminem,18,2010-12-20,1
23673,"Baby, It's Cold Outside",Glee Cast,57,2010-12-20,1
23674,Welcome Christmas,Glee Cast,59,2010-12-20,1
23675,Rolling In The Deep,Adele,68,2010-12-20,1
23676,No BS,Chris Brown,89,2010-12-20,1
23677,Bass Down Low,Dev Featuring The Cataracs,94,2010-12-20,1
23678,Fall For Your Type,Jamie Foxx Featuring Drake,95,2010-12-20,1
23679,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,9,2010-12-27,1
23680,Higher,Taio Cruz Featuring Travie McCoy,80,2010-12-27,1
23681,Moment 4 Life,Nicki Minaj Featuring Drake,82,2010-12-27,1
23682,F**kin' Perfect,P!nk,86,2010-12-27,1
23683,What Do You Want,Jerrod Niemann,90,2010-12-27,1
23684,Are You Gonna Kiss Me Or Not,Thompson Square,92,2010-12-27,1
23685,When A Woman Loves,R. Kelly,93,2010-12-27,1
23686,You Be Killin Em,Fabolous,94,2010-12-27,1
23687,For The First Time,The Script,97,2010-12-27,1
23688,Oh Santa!,Mariah Carey,100,2010-12-27,1
23689,I Just Had Sex,The Lonely Island Featuring Akon,30,2011-01-03,1
23690,This Is Country Music,Brad Paisley,65,2011-01-03,1
23691,Hit It Again,3OH!3,66,2011-01-03,1
23692,Do The John Wall,Troop 41,81,2011-01-03,1
23693,I Am The Champion,B.o.B,85,2011-01-03,1
23694,Shake Up Christmas,Train,99,2011-01-03,1
23695,Big Night,Big Time Rush,79,2011-01-10,1
23696,A Little Bit Stronger,Sara Evans,98,2011-01-10,1
23697,Country Strong,Gwyneth Paltrow,81,2011-01-17,1
23698,From A Table Away,Sunny Sweeney,96,2011-01-17,1
23699,Make It Rain,Travis Porter,100,2011-01-17,1
23700,Hold It Against Me,Britney Spears,1,2011-01-24,1
23701,What The Hell,Avril Lavigne,13,2011-01-24,1
23702,H*A*M,Kanye West Jay Z,23,2011-01-24,1
23703,Shake Me Down,Cage The Elephant,78,2011-01-24,1
23704,Give In To Me,Garrett Hedlund & Leighton Meester,79,2011-01-24,1
23705,Buzzin',Mann,95,2011-01-24,1
23706,Wildflower,The JaneDear Girls,98,2011-01-24,1
23707,Colder Weather,Zac Brown Band,79,2011-01-31,1
23708,Stay The Night,James Blunt,94,2011-01-31,1
23709,"For You, And Your Denial",Yellowcard,100,2011-01-31,1
23710,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,78,2011-02-07,1
23711,Help Is On The Way,Rise Against,89,2011-02-07,1
23712,Boyfriend,New Hollow,98,2011-02-07,1
23713,Love Faces,Trey Songz,100,2011-02-07,1
23714,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,5,2011-02-14,1
23715,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,11,2011-02-14,1
23716,Need You Now,Glee Cast,72,2011-02-14,1
23717,Thriller / Heads Will Roll,Glee Cast,75,2011-02-14,1
23718,"Bills, Bills, Bills",Glee Cast,79,2011-02-14,1
23719,When You're Young,3 Doors Down,81,2011-02-14,1
23720,The Creep,The Lonely Island Featuring Nicki Minaj,82,2011-02-14,1
23721,Price Tag,Jessie J Featuring B.o.B,88,2011-02-14,1
23722,The Ballad Of Mona Lisa,Panic! At The Disco,89,2011-02-14,1
23723,The Cave,Mumford & Sons,99,2011-02-14,1
23724,Born This Way,Lady Gaga,1,2011-02-21,1
23725,Hit The Lights,Jay Sean Featuring Lil Wayne,18,2011-02-21,1
23726,I Do,Colbie Caillat,23,2011-02-21,1
23727,Firework,Glee Cast,34,2011-02-21,1
23728,Silly Love Songs,Glee Cast,45,2011-02-21,1
23729,When I Get You Alone,Glee Cast,47,2011-02-21,1
23730,Roll Up,Wiz Khalifa,48,2011-02-21,1
23731,Fat Bottomed Girls,Glee Cast,56,2011-02-21,1
23732,P.Y.T. (Pretty Young Thing),Glee Cast,58,2011-02-21,1
23733,I Won't Give Up,Jana Kramer,75,2011-02-21,1
23734,She's Not There,Glee Cast,87,2011-02-21,1
23735,Words I Never Said,Lupe Fiasco Featuring Skylar Grey,89,2011-02-21,1
23736,Pray,Justin Bieber,91,2011-02-21,1
23737,Sing,My Chemical Romance,92,2011-02-21,1
23738,Heart Like Mine,Miranda Lambert,95,2011-02-21,1
23739,Bleed Red,Ronnie Dunn,99,2011-02-21,1
23740,Backseat,New Boyz Featuring The Cataracs & Dev,37,2011-02-28,1
23741,Baby,Glee Cast,47,2011-02-28,1
23742,Sing,Glee Cast,49,2011-02-28,1
23743,Take Me Or Leave Me,Glee Cast,51,2011-02-28,1
23744,Somebody To Love,Glee Cast,62,2011-02-28,1
23745,Born To Be Somebody,Justin Bieber,74,2011-02-28,1
23746,Tomorrow,Chris Young,86,2011-02-28,1
23747,Written In The Stars,Tinie Tempah Featuring Eric Turner,91,2011-02-28,1
23748,Just Can't Get Enough,The Black Eyed Peas,92,2011-02-28,1
23749,On The Floor,Jennifer Lopez Featuring Pitbull,9,2011-03-07,1
23750,Don't You Want Me,Glee Cast,49,2011-03-07,1
23751,On My Level,Wiz Khalifa Featuring Too $hort,52,2011-03-07,1
23752,Blame It (On The Alcohol),Glee Cast,55,2011-03-07,1
23753,Tik Tok,Glee Cast,61,2011-03-07,1
23754,Someone Like You,Adele,65,2011-03-07,1
23755,Boyfriend,Big Time Rush,79,2011-03-07,1
23756,Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne,82,2011-03-07,1
23757,Set Fire To The Rain,Adele,88,2011-03-07,1
23758,Welcome To My Hood,"DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain",90,2011-03-07,1
23759,I Smile,Kirk Franklin,97,2011-03-07,1
23760,The Shape I'm In,Joe Nichols,98,2011-03-07,1
23761,Country Boy,Aaron Lewis Featuring George Jones & Charlie Daniels,100,2011-03-07,1
23762,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,20,2011-03-14,1
23763,Rope,Foo Fighters,70,2011-03-14,1
23764,Twisted,Gorilla Zoe Featuring Lil Jon,77,2011-03-14,1
23765,You Lie,The Band Perry,80,2011-03-14,1
23766,What Are Words,Chris Medina,83,2011-03-14,1
23767,My Last,Big Sean Featuring Chris Brown,89,2011-03-14,1
23768,Did It On'em,Nicki Minaj,92,2011-03-14,1
23769,Walking,Mary Mary,97,2011-03-14,1
23770,21st Century Girl,WILLOW,99,2011-03-14,1
23771,Landslide,Glee Cast Featuring Gwyneth Paltrow,23,2011-03-21,1
23772,Do You Wanna Touch Me (Oh Yeah),Glee Cast Featuring Gwyneth Paltrow,57,2011-03-21,1
23773,Crazy Girl,Eli Young Band,59,2011-03-21,1
23774,Animal,Glee Cast,62,2011-03-21,1
23775,The Race,Wiz Khalifa,66,2011-03-21,1
23776,Beautiful Lasers (2 Ways),Lupe Fiasco Featuring MDMA,70,2011-03-21,1
23777,Country Song,Seether,74,2011-03-21,1
23778,Boom,Snoop Dogg Featuring T-Pain,76,2011-03-21,1
23779,Kiss,Glee Cast,83,2011-03-21,1
23780,Homeboy,Eric Church,86,2011-03-21,1
23781,Live A Little,Kenny Chesney,91,2011-03-21,1
23782,Sure Thing,Miguel,94,2011-03-21,1
23783,Without You,Keith Urban,95,2011-03-21,1
23784,Where You At,Jennifer Hudson,96,2011-03-21,1
23785,I Can't Love You Back,Easton Corbin,97,2011-03-21,1
23786,Wish You Were Here,Avril Lavigne,99,2011-03-21,1
23787,Loser Like Me,Glee Cast,6,2011-03-28,1
23788,Get It Right,Glee Cast,16,2011-03-28,1
23789,Who Says,Selena Gomez & The Scene,24,2011-03-28,1
23790,Raise Your Glass,Glee Cast,36,2011-03-28,1
23791,Blackbird,Glee Cast,37,2011-03-28,1
23792,Misery,Glee Cast,52,2011-03-28,1
23793,Hell To The No,Glee Cast,53,2011-03-28,1
23794,Candles,Glee Cast,71,2011-03-28,1
23795,Friday,Rebecca Black,72,2011-03-28,1
23796,Bring It Back,Travis Porter,88,2011-03-28,1
23797,Far Away,Marsha Ambrosius,92,2011-03-28,1
23798,Grove St. Party,Waka Flocka Flame Featuring Kebo Gotti,93,2011-03-28,1
23799,Arms,Christina Perri,94,2011-03-28,1
23800,Dancing Crazy,Miranda Cosgrove,100,2011-03-28,1
23801,No Sleep,Wiz Khalifa,6,2011-04-04,1
23802,Next To You,Chris Brown Featuring Justin Bieber,26,2011-04-04,1
23803,Best Love Song,T-Pain Featuring Chris Brown,33,2011-04-04,1
23804,John,Lil Wayne Featuring Rick Ross,57,2011-04-04,1
23805,If Heaven Wasn't So Far Away,Justin Moore,85,2011-04-04,1
23806,Family Man,Craig Campbell,86,2011-04-04,1
23807,Georgia Clay,Josh Kelley,89,2011-04-04,1
23808,F**k Him He's A DJ,Ke$ha,97,2011-04-04,1
23809,When I'm Gone,Wiz Khalifa,57,2011-04-11,1
23810,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",60,2011-04-11,1
23811,The Story,Sara Ramirez,69,2011-04-11,1
23812,I Wanna Go,Britney Spears,73,2011-04-11,1
23813,Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice,83,2011-04-11,1
23814,Racks,YC Featuring Future,86,2011-04-11,1
23815,Honey Bee,Blake Shelton,13,2011-04-18,1
23816,Dirt Road Anthem,Jason Aldean,68,2011-04-18,1
23817,Hustle Hard,Ace Hood,87,2011-04-18,1
23818,Hello,Martin Solveig & Dragonette,91,2011-04-18,1
23819,Old Alabama,Brad Paisley Featuring Alabama,95,2011-04-18,1
23820,Somewhere Else,Toby Keith,100,2011-04-18,1
23821,Judas,Lady Gaga,10,2011-04-25,1
23822,Motivation,Kelly Rowland Featuring Lil Wayne,55,2011-04-25,1
23823,Red Nation,Game Featuring Lil Wayne,62,2011-04-25,1
23824,She Ain't You,Chris Brown,90,2011-04-25,1
23825,Tonight Tonight,Hot Chelle Rae,93,2011-04-25,1
23826,Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",94,2011-04-25,1
23827,Barefoot Blue Jean Night,Jake Owen,96,2011-04-25,1
23828,Country Girl (Shake It For Me),Luke Bryan,22,2011-05-02,1
23829,Run The World (Girls),Beyonce,33,2011-05-02,1
23830,Turning Tables,Adele,63,2011-05-02,1
23831,Turning Tables,Glee Cast Featuring Gwyneth Paltrow,66,2011-05-02,1
23832,All By Myself,Glee Cast,87,2011-05-02,1
23833,Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",88,2011-05-02,1
23834,Somebody,Bridgit Mendler,89,2011-05-02,1
23835,Papi,Jennifer Lopez,99,2011-05-02,1
23836,I Feel Pretty / Unpretty,Glee Cast,22,2011-05-09,1
23837,Somewhere Only We Know,Glee Cast,42,2011-05-09,1
23838,Born This Way,Glee Cast,44,2011-05-09,1
23839,Time After Time,Javier Colon,65,2011-05-09,1
23840,As If We Never Said Goodbye,Glee Cast,80,2011-05-09,1
23841,Barbra Streisand,Duck Sauce,89,2011-05-09,1
23842,Pumped Up Kicks,Foster The People,96,2011-05-09,1
23843,Super Bass,Nicki Minaj,98,2011-05-09,1
23844,Whiskey,Jana Kramer,99,2011-05-09,1
23845,Never Gonna Leave This Bed,Maroon 5,100,2011-05-09,1
23846,Just A Kiss,Lady Antebellum,7,2011-05-16,1
23847,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,14,2011-05-16,1
23848,Fast Lane,Bad Meets Evil,32,2011-05-16,1
23849,Go Your Own Way,Glee Cast,45,2011-05-16,1
23850,Better With The Lights Off,New Boyz Feat. Chris Brown,61,2011-05-16,1
23851,Songbird,Glee Cast,68,2011-05-16,1
23852,Not Ready To Die,Avenged Sevenfold,70,2011-05-16,1
23853,I'm Into You,Jennifer Lopez Featuring Lil Wayne,72,2011-05-16,1
23854,Don't Stop,Glee Cast,79,2011-05-16,1
23855,Never Going Back Again,Glee Cast,81,2011-05-16,1
23856,Danza Kuduro,Don Omar & Lucenzo,82,2011-05-16,1
23857,Am I The Only One,Dierks Bentley,89,2011-05-16,1
23858,Dreams,Glee Cast Featuring Kristin Chenoweth,92,2011-05-16,1
23859,Closer To The Edge,Thirty Seconds To Mars,99,2011-05-16,1
23860,The Edge Of Glory,Lady Gaga,3,2011-05-23,1
23861,Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,18,2011-05-23,1
23862,Rolling In The Deep,Glee Cast Featuring Jonathan Groff,29,2011-05-23,1
23863,Friday,Glee Cast,34,2011-05-23,1
23864,(It) Feels So Good,Steven Tyler,35,2011-05-23,1
23865,Jar Of Hearts,Glee Cast,49,2011-05-23,1
23866,9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,61,2011-05-23,1
23867,Isn't She Lovely,Glee Cast,65,2011-05-23,1
23868,Jack Sparrow,The Lonely Island Featuring Michael Bolton,69,2011-05-23,1
23869,I'm Not Gonna Teach Your Boyfriend To Dance With You,Glee Cast,72,2011-05-23,1
23870,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,73,2011-05-23,1
23871,Dancing Queen,Glee Cast,74,2011-05-23,1
23872,I Am Woman,Jordin Sparks,82,2011-05-23,1
23873,Hair,Lady Gaga,12,2011-05-30,1
23874,Ballin',Young Jeezy Featuring Lil Wayne,57,2011-05-30,1
23875,Pure Imagination,Glee Cast,59,2011-05-30,1
23876,Right There,Nicole Scherzinger Featuring 50 Cent,77,2011-05-30,1
23877,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",78,2011-05-30,1
23878,California King Bed,Rihanna,80,2011-05-30,1
23879,Back To Black,Glee Cast,82,2011-05-30,1
23880,Don't Wanna Go Home,Jason Derulo,92,2011-05-30,1
23881,My Man,Glee Cast,94,2011-05-30,1
23882,Look It Up,Ashton Shepherd,95,2011-05-30,1
23883,I Love You This Big,Scotty McCreery,11,2011-06-06,1
23884,Like My Mother Does,Lauren Alaina,20,2011-06-06,1
23885,Light Up The World,Glee Cast,33,2011-06-06,1
23886,You And I,Lady Gaga,36,2011-06-06,1
23887,Pretending,Glee Cast,40,2011-06-06,1
23888,1+1,Beyonce,57,2011-06-06,1
23889,For Good,Glee Cast,58,2011-06-06,1
23890,How To Love,Lil Wayne,69,2011-06-06,1
23891,Rise Above 1,Reeve Carney Featuring Bono & The Edge,74,2011-06-06,1
23892,Marry The Night,Lady Gaga,79,2011-06-06,1
23893,Donald Trump,Mac Miller,80,2011-06-06,1
23894,"I Love New York / New York, New York",Glee Cast,81,2011-06-06,1
23895,You And Tequila,Kenny Chesney Featuring Grace Potter,92,2011-06-06,1
23896,As Long As You're There,Glee Cast,93,2011-06-06,1
23897,Man Down,Rihanna,94,2011-06-06,1
23898,Out Of My Head,Lupe Fiasco Featuring Trey Songz,98,2011-06-06,1
23899,Every Teardrop Is A Waterfall,Coldplay,29,2011-06-13,1
23900,International Love,Pitbull Featuring Chris Brown,59,2011-06-13,1
23901,Best Thing I Never Had,Beyonce,84,2011-06-13,1
23902,Iridescent,Linkin Park,86,2011-06-13,1
23903,Unusual,Trey Songz Featuring Drake,90,2011-06-13,1
23904,Take A Back Road,Rodney Atkins,92,2011-06-13,1
23905,Best Friend's Brother,Victorious Cast Featuring Victoria Justice,93,2011-06-13,1
23906,Keep Your Head Up,Andy Grammer,94,2011-06-13,1
23907,Cat Daddy,Rej3ctz,97,2011-06-13,1
23908,Just Fishin',Trace Adkins,98,2011-06-13,1
23909,Monster,Paramore,36,2011-06-20,1
23910,Remind Me,Brad Paisley Duet With Carrie Underwood,59,2011-06-20,1
23911,Pause,Pitbull,73,2011-06-20,1
23912,Heartless,Dia Frampton,78,2011-06-20,1
23913,Bang Bang Bang,Selena Gomez & The Scene,94,2011-06-20,1
23914,Made In America,Toby Keith,95,2011-06-20,1
23915,Not Over You,Gavin DeGraw,96,2011-06-20,1
23916,You,Romeo Santos,97,2011-06-20,1
23917,Teenage Daughters,Martina McBride,100,2011-06-20,1
23918,Lighters,Bad Meets Evil Featuring Bruno Mars,16,2011-06-27,1
23919,Angel,Javier Colon,64,2011-06-27,1
23920,Today Is Your Day,Shania Twain,66,2011-06-27,1
23921,Rain Over Me,Pitbull Featuring Marc Anthony,75,2011-06-27,1
23922,Jolene,Vicci Martinez,76,2011-06-27,1
23923,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,85,2011-06-27,1
23924,Black Horse And The Cherry Tree,Casey Weston,90,2011-06-27,1
23925,See No More,Joe Jonas,92,2011-06-27,1
23926,Take Over Control,Afrojack Featuring Eva Simons,96,2011-06-27,1
23927,Love Done Gone,Billy Currington,98,2011-06-27,1
23928,Price Tag,Xenia,99,2011-06-27,1
23929,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,8,2011-07-04,1
23930,Fix You,Javier Colon,52,2011-07-04,1
23931,Losing My Religion,Dia Frampton,54,2011-07-04,1
23932,Dog Days Are Over,Vicci Martinez,68,2011-07-04,1
23933,Shake Senora,Pitbull Featuring T-Pain & Sean Paul,69,2011-07-04,1
23934,Love You Like A Love Song,Selena Gomez & The Scene,72,2011-07-04,1
23935,The Man Who Can't Be Moved,Xenia,92,2011-07-04,1
23936,Watch Me,Bella Thorne & Zendaya,95,2011-07-04,1
23937,So In Love,Jill Scott Featuring Anthony Hamilton,97,2011-07-04,1
23938,"Save Me, San Francisco",Train,98,2011-07-04,1
23939,Country Must Be Country Wide,Brantley Gilbert,100,2011-07-04,1
23940,Stitch By Stitch,Javier Colon,17,2011-07-11,1
23941,Inventing Shadows,Dia Frampton,20,2011-07-11,1
23942,Man In The Mirror,Adam Levine & Javier Colon,45,2011-07-11,1
23943,I Won't Back Down,Blake Shelton & Dia Frampton,57,2011-07-11,1
23944,Here For A Good Time,George Strait,65,2011-07-11,1
23945,Little Bad Girl,David Guetta Featuring Taio Cruz & Ludacris,70,2011-07-11,1
23946,Beautiful,Christina Aguilera & Beverly McClellan,74,2011-07-11,1
23947,Afraid To Sleep,Vicci Martinez,78,2011-07-11,1
23948,Moving To Mars,Coldplay,90,2011-07-11,1
23949,Major Minus,Coldplay,92,2011-07-11,1
23950,Pretty Girls,Iyaz Featuring Travie McCoy,94,2011-07-11,1
23951,High,Big Sean Featuring Wiz Khalifa,98,2011-07-11,1
23952,Novacane,Frank Ocean,82,2011-07-18,1
23953,Work Out,J. Cole,85,2011-07-18,1
23954,I Wouldn't Be A Man,Josh Turner,92,2011-07-18,1
23955,Smile,Avril Lavigne,94,2011-07-18,1
23956,Taboo,Don Omar,97,2011-07-18,1
23957,Walk,Foo Fighters,100,2011-07-18,1
23958,Skyscraper,Demi Lovato,10,2011-07-25,1
23959,Booty Wurk (One Cheek At A Time),T-Pain Featuring Joey Galaxy,44,2011-07-25,1
23960,God Gave Me You,Blake Shelton,65,2011-07-25,1
23961,You Make Me Feel...,Cobra Starship Featuring Sabi,76,2011-07-25,1
23962,What If,Colbie Caillat,77,2011-07-25,1
23963,Up All Night,Blink-182,85,2011-07-25,1
23964,Long Hot Summer,Keith Urban,89,2011-07-25,1
23965,Mr. Saxobeat,Alexandra Stan,92,2011-07-25,1
23966,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,38,2011-08-01,1
23967,Otis,Jay Z Kanye West Featuring Otis Redding,47,2011-08-01,1
23968,Marvins Room,Drake,68,2011-08-01,1
23969,Outlaw,50 Cent,87,2011-08-01,1
23970,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,88,2011-08-01,1
23971,Quickie,Miguel,95,2011-08-01,1
23972,Oh My,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",100,2011-08-01,1
23973,Gucci Gucci,Kreayshawn,82,2011-08-08,1
23974,Easy,Rascal Flatts Featuring Natasha Bedingfield,87,2011-08-08,1
23975,Cheers (Drink To That),Rihanna,91,2011-08-08,1
23976,Don't Stop The Party,The Black Eyed Peas,93,2011-08-08,1
23977,Rumour Has It,Adele,96,2011-08-08,1
23978,Fish,Craig Campbell,97,2011-08-08,1
23979,Faster,Matt Nathanson,99,2011-08-08,1
23980,One More Drinkin' Song,Jerrod Niemann,100,2011-08-08,1
23981,Under And Over It,Five Finger Death Punch,77,2011-08-15,1
23982,Lights,Ellie Goulding,85,2011-08-15,1
23983,Ships In The Night,Mat Kearney,87,2011-08-15,1
23984,In The Dark,Dev,92,2011-08-15,1
23985,Till I'm Gone,Tinie Tempah Featuring Wiz Khalifa,96,2011-08-15,1
23986,Far Away,Tyga Featuring Chris Richardson,98,2011-08-15,1
23987,Headlines,Drake,13,2011-08-22,1
23988,It Girl,Jason Derulo,39,2011-08-22,1
23989,Who Gon Stop Me,Jay Z Kanye West,44,2011-08-22,1
23990,Titanium,David Guetta Featuring Sia,66,2011-08-22,1
23991,Baggage Claim,Miranda Lambert,67,2011-08-22,1
23992,What You Want,Evanescence,68,2011-08-22,1
23993,Ni**as in Paris,Jay Z Kanye West,75,2011-08-22,1
23994,We Don't Get Down Like Y'all,T.I. Featuring B.o.B.,78,2011-08-22,1
23995,Drunk On You,Luke Bryan,79,2011-08-22,1
23996,Nothing,The Script,89,2011-08-22,1
23997,Mrs. Right,Mindless Behavior Featuring Diggy,97,2011-08-22,1
23998,She Will,Lil Wayne Featuring Drake,3,2011-08-29,1
23999,We Owned The Night,Lady Antebellum,47,2011-08-29,1
24000,Frick Park Market,Mac Miller,60,2011-08-29,1
24001,Don't Hold Your Breath,Nicole Scherzinger,86,2011-08-29,1
24002,Sail,AWOLNATION,89,2011-08-29,1
24003,Brighter Than The Sun,Colbie Caillat,90,2011-08-29,1
24004,I Got You,Thompson Square,95,2011-08-29,1
24005,Hell On Heels,Pistol Annies,55,2011-09-05,1
24006,I'm Gonna Love You Through It,Martina McBride,77,2011-09-05,1
24007,Night Of Your Life,David Guetta Featuring Jennifer Hudson,81,2011-09-05,1
24008,Love Don't Run,Steve Holy,90,2011-09-05,1
24009,What The Water Gave Me,Florence + The Machine,91,2011-09-05,1
24010,Cost Of Livin',Ronnie Dunn,96,2011-09-05,1
24011,That Way,Wale Featuring Jeremih & Rick Ross,98,2011-09-05,1
24012,Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",100,2011-09-05,1
24013,Mirror,Lil Wayne Featuring Bruno Mars,16,2011-09-12,1
24014,Love On Top,Beyonce,20,2011-09-12,1
24015,Blunt Blowin,Lil Wayne,33,2011-09-12,1
24016,Turn Me On,David Guetta Featuring Nicki Minaj,37,2011-09-12,1
24017,Without You,David Guetta Featuring Usher,39,2011-09-12,1
24018,Beautiful People,Chris Brown Featuring Benny Benassi,43,2011-09-12,1
24019,Dancin' Away With My Heart,Lady Antebellum,50,2011-09-12,1
24020,MegaMan,Lil Wayne,52,2011-09-12,1
24021,My Body,Young The Giant,65,2011-09-12,1
24022,Sexy And I Know It,LMFAO,76,2011-09-12,1
24023,It's Good,Lil Wayne Featuring Drake & Jadakiss,79,2011-09-12,1
24024,Good Feeling,Flo Rida,82,2011-09-12,1
24025,How To Hate,Lil Wayne Featuring T-Pain,84,2011-09-12,1
24026,Nightmares Of The Bottom,Lil Wayne,90,2011-09-12,1
24027,President Carter,Lil Wayne,94,2011-09-12,1
24028,So Special,Lil Wayne Featuring John Legend,95,2011-09-12,1
24029,Mr. Know It All,Kelly Clarkson,18,2011-09-19,1
24030,Wanted You More,Lady Antebellum,34,2011-09-19,1
24031,Police Dog Blues,Hugh Laurie,58,2011-09-19,1
24032,The Trouble With Girls,Scotty McCreery,84,2011-09-19,1
24033,Disaster,JoJo,87,2011-09-19,1
24034,All Your Life,The Band Perry,95,2011-09-19,1
24035,Wet The Bed,Chris Brown Feat. Ludacris,96,2011-09-19,1
24036,Paradise,Coldplay,16,2011-09-26,1
24037,I Got Nothin',Darius Rucker,84,2011-09-26,1
24038,Body And Soul,Tony Bennett & Amy Winehouse,87,2011-09-26,1
24039,Let It Rain,David Nail Featuring Sarah Buxton,95,2011-09-26,1
24040,Body 2 Body,Ace Hood Featuring Chris Brown,98,2011-09-26,1
24041,Got 2 Luv U,Sean Paul Featuring Alexis Jordan,99,2011-09-26,1
24042,You Don't Know Her Like I Do,Brantley Gilbert,100,2011-09-26,1
24043,We Found Love,Rihanna Featuring Calvin Harris,16,2011-10-03,1
24044,It's Not Unusual,Glee Cast,65,2011-10-03,1
24045,You Can't Stop The Beat,Glee Cast,67,2011-10-03,1
24046,Y.U. Mad,Birdman Featuring Nicki Minaj & Lil Wayne,68,2011-10-03,1
24047,Fix A Heart,Demi Lovato,69,2011-10-03,1
24048,Tattoos On This Town,Jason Aldean,81,2011-10-03,1
24049,We Got The Beat,Glee Cast,83,2011-10-03,1
24050,Drink In My Hand,Eric Church,96,2011-10-03,1
24051,Unbroken,Demi Lovato,98,2011-10-03,1
24052,Strange Clouds,B.o.B Featuring Lil Wayne,7,2011-10-10,1
24053,It Will Rain,Bruno Mars,28,2011-10-10,1
24054,When We Stand Together,Nickelback,48,2011-10-10,1
24055,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,62,2011-10-10,1
24056,Somewhere,Glee Cast,75,2011-10-10,1
24057,Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,81,2011-10-10,1
24058,Fight For You,Jason Derulo,83,2011-10-10,1
